item(distancefilter,nostate,msg(sonar,event,robotsonar,none,sonar(26,sonar2),41)).
item(basicrobot,doStep,msg(sonar,event,robotsonar,none,sonar(26,sonar2),41)).
item(datacleaner,nostate,msg(sonarRobot,event,robotsonar,none,sonar(5),42)).
item(distancefilter,nostate,msg(sonarRobot,event,robotsonar,none,sonar(5),42)).
item(basicrobot,doStep,msg(obstacle,event,distancefilter,none,obstacle(5),43)).
item(distancefilter,nostate,msg(obstacle,event,basicrobot,none,obstacle(unknown),44)).
item(datacleaner,nostate,msg(obstacle,event,basicrobot,none,obstacle(unknown),44)).
item(robotsonar,nostate,msg(obstacle,event,basicrobot,none,obstacle(unknown),44)).
item(basicrobot,work,msg(cmd,dispatch,roomboudaryexplorer,basicrobot,cmd(s),13)).
item(basicrobot,work,msg(cmd,dispatch,roomboudaryexplorer,basicrobot,cmd(h),14)).
item(basicrobot,work,msg(cmd,dispatch,roomboudaryexplorer,basicrobot,cmd(l),15)).
item(basicrobot,work,msg(step,request,roomboudaryexplorer,basicrobot,step(330),16)).
item(timer_doStep,nostate,msg(start,dispatch,timer_doStep,timer_doStep,start,47)).
item(robotsonar,nostate,msg(local_tout_basicrobot_doStep,event,timer_doStep,none,local_tout_basicrobot_doStep,48)).
item(distancefilter,nostate,msg(local_tout_basicrobot_doStep,event,timer_doStep,none,local_tout_basicrobot_doStep,48)).
item(datacleaner,nostate,msg(local_tout_basicrobot_doStep,event,timer_doStep,none,local_tout_basicrobot_doStep,48)).
item(basicrobot,doStep,msg(local_tout_basicrobot_doStep,event,timer_doStep,none,local_tout_basicrobot_doStep,48)).
item(timer_stepPerhapsDone,nostate,msg(start,dispatch,timer_stepPerhapsDone,timer_stepPerhapsDone,start,50)).
item(datacleaner,nostate,msg(local_tout_basicrobot_stepPerhapsDone,event,timer_stepPerhapsDone,none,local_tout_basicrobot_stepPerhapsDone,51)).
item(distancefilter,nostate,msg(local_tout_basicrobot_stepPerhapsDone,event,timer_stepPerhapsDone,none,local_tout_basicrobot_stepPerhapsDone,51)).
item(robotsonar,nostate,msg(local_tout_basicrobot_stepPerhapsDone,event,timer_stepPerhapsDone,none,local_tout_basicrobot_stepPerhapsDone,51)).
item(basicrobot,stepPerhapsDone,msg(local_tout_basicrobot_stepPerhapsDone,event,timer_stepPerhapsDone,none,local_tout_basicrobot_stepPerhapsDone,51)).
item(basicrobot,work,msg(step,request,roomboudaryexplorer,basicrobot,step(330),17)).
item(timer_doStep,nostate,msg(start,dispatch,timer_doStep,timer_doStep,start,54)).
item(datacleaner,nostate,msg(local_tout_basicrobot_doStep,event,timer_doStep,none,local_tout_basicrobot_doStep,55)).
item(distancefilter,nostate,msg(local_tout_basicrobot_doStep,event,timer_doStep,none,local_tout_basicrobot_doStep,55)).
item(robotsonar,nostate,msg(local_tout_basicrobot_doStep,event,timer_doStep,none,local_tout_basicrobot_doStep,55)).
item(basicrobot,doStep,msg(local_tout_basicrobot_doStep,event,timer_doStep,none,local_tout_basicrobot_doStep,55)).
item(timer_stepPerhapsDone,nostate,msg(start,dispatch,timer_stepPerhapsDone,timer_stepPerhapsDone,start,57)).
item(datacleaner,nostate,msg(local_tout_basicrobot_stepPerhapsDone,event,timer_stepPerhapsDone,none,local_tout_basicrobot_stepPerhapsDone,58)).
